name,type,url,http,items,newest,verdict,detail
Reuters World,rss,https://feeds.reuters.com/reuters/worldNews,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
AP News World,rss,https://apnews.com/hub/ap-top-news/rss,404,0,,HTTP_ERROR,Not Found
Agence France-Presse,rss,http://feeds.afp.com/afp/latest,503,0,,HTTP_ERROR,Service Unavailable
BBC World News,rss,https://feeds.bbc.co.uk/news/world/rss.xml,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
BBC Persian,rss,https://www.bbc.com/persian/index.rss,404,0,,HTTP_ERROR,Not Found
Al Jazeera English,rss,https://www.aljazeera.com/xml/feeds/rss/ir/index.rss,404,0,,HTTP_ERROR,Not Found
Al Jazeera Middle East,rss,https://www.aljazeera.com/xml/feeds/rss/middleeast.rss,404,0,,HTTP_ERROR,Not Found
NPR Middle East,rss,https://feeds.npr.org/1009/rss.xml,200,10,"Wed, 12 Aug 2026 04:45:55 -0400",OK,text/xml
France24 English,rss,https://www.france24.com/en/middle-east/rss,200,29,"Wed, 12 Aug 2026 17:48:46 GMT",OK,application/rss+xml
BBC News Middle East,rss,https://feeds.bbc.co.uk/news/world/middle_east/rss.xml,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
AFP Middle East,rss,https://feeds.afp.com/afp/middleeast,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
Middle East Eye,rss,http://www.middleeasteye.net/rss,200,20,"Wed, 12 Aug 2026 21:26:30 +0100",OK,application/rss+xml
Radio Farda,rss,https://en.radiofarda.com/rssfeeds,200,0,,NOT_FEED,text/html
Iran International,rss,https://www.iranintl.com/en/feed,200,50,"Wed, 12 Aug 2026 20:12:19 GMT",OK,application/xml
Al-Monitor Iran,rss,https://www.al-monitor.com/iran/rss,404,0,,HTTP_ERROR,Not Found
Al-Monitor General,rss,https://www.al-monitor.com/rss,200,20,2026-08-12T14:30:26-0400,OK,application/rss+xml
War on the Rocks,rss,https://warontherocks.com/feed/,200,100,"Wed, 12 Aug 2026 17:30:08 +0000",OK,application/rss+xml
DW English,rss,https://rss.dw.com/rdf/rss-en-all,200,144,2026-08-12T20:44:30Z,OK,text/xml
CNBC World,rss,https://www.cnbc.com/id/100003114/device/rss/rss.html,200,30,"Wed, 12 Aug 2026 20:25 GMT",OK,application/xml
Trading Economics,rss,https://tradingeconomics.com/rss/,403,0,,HTTP_ERROR,Forbidden
OilPrice Main,rss,https://oilprice.com/rss/main,200,15,"Wed, 12 Aug 2026 15:46:11 -0500",OK,rss+xml
Seeking Alpha Energy,rss,https://seekingalpha.com/feed.xml,200,30,"Wed, 12 Aug 2026 16:40:11 -0400",OK,application/xml
IranWire,rss,https://iranwire.com/feed/,200,311,"Sun, 02 Aug 2026 08:17:35 +0000",OK,application/rss+xml
IRNA English,rss,https://en.irna.ir/rss,200,30,"Wed, 12 Aug 2026 20:23:04 GMT",OK,application/rss+xml
Tasnim News,rss,https://www.tasnimnews.com/en/rss,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
Press TV,rss,https://presstv.ir/rss/world/1,,0,,TLS,SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
Tehran Times,rss,https://www.tehrantimes.com/rss,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
Mehr News Agency,rss,https://en.mehrnews.com/rss,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
Gulf News,rss,https://gulfnews.com/latest-news/rss,404,0,,HTTP_ERROR,Not Found
Haaretz English,rss,https://www.haaretz.com/srv/israel-news-rss,200,20,"Wed, 12 Aug 2026 22:44:28 +0300",OK,text/xml
GlobalSecurity Iran,rss,https://www.globalsecurity.org/military/ops/iran-news-ticker.htm,200,0,,NOT_FEED,text/html
Geopolitics Prime,telegram,https://t.me/s/geopolitics_prime,200,17,,OK,text/html
Military Wave,telegram,https://t.me/s/militarywave,200,20,,OK,text/html
Geopolitics Watch,telegram,https://t.me/s/GeoPWatch,200,19,,OK,text/html
Mehr News Military,rss,https://en.mehrnews.com/rss/military,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
Tasnim Politics,rss,https://www.tasnimnews.com/en/rss/politics,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
IRNA Politics,rss,https://en.irna.ir/rss/politics,200,0,,NOT_FEED,text/html
Financial Tribune,rss,https://financialtribune.com/rss,,0,,TLS,SSLEOFError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)
