source_id,url,title,body,published_at_utc,date_only,lang
ajar,https://www.aljazeera.net/sport/2026/8/30/%d9%85%d9%86-%d9%85%d8%ac%d8%a7%d8%b2%d8%b1-%d8%ba%d8%b2%d8%a9-%d8%a5%d9%84%d9%89-%d9%85%d8%a7%d8%b1%d8%a7%d8%ab%d9%88%d9%86-%d8%b3%d9%8a%d8%af%d9%86%d9%8a-%d9%85%d8%b4%d8%a7%d8%b1%d9%83%d8%a9?traffic_source=rss,من مجازر غزة إلى ماراثون سيدني.. مشاركة جنود إسرائيليين تفجر احتجاجات في أستراليا,شهد ماراثون سيدني الأسترالي احتجاجات واسعة تنديداً بمشاركة وفد عسكري إسرائيلي يضم عناصر متهمين بارتكاب جرائم حرب في غزة، وانتقد ناشطون وحقوقيون تساهل السلطات الأسترالية في منحهم تأشيرات الدخول.,2026-08-30T13:59:00+00:00,0,ar
ajar,https://www.aljazeera.net/lifestyle/2026/8/30/%d8%b7%d8%a7%d9%84%d8%a8-%d8%a8%d8%aa%d8%b1%d8%ad%d9%8a%d9%84-%d8%a7%d9%84%d9%85%d9%87%d8%a7%d8%ac%d8%b1%d9%8a%d9%86-%d9%88%d8%a7%d9%84%d9%85%d8%b3%d9%84%d9%85%d9%8a%d9%86?traffic_source=rss,طالب بترحيل المهاجرين والمسلمين.. أمريكا ترحل ناشط بريطاني لتجاوز مدة إقامته,رحّلت السلطات الأمريكية المعلق السياسي البريطاني ميلو يانوبولوس إلى المملكة المتحدة، بعد احتجازه على خلفية تجاوز مدة الإقامة المسموح بها وتغيبه عن جلسة أمام محكمة الهجرة.,2026-08-30T13:56:40+00:00,0,ar
ajar,https://www.aljazeera.net/politics/2026/8/30/%d8%a3%d9%84%d9%8a%d9%83%d8%b3-%d9%83%d8%a7%d8%b1%d8%a8-%d9%81%d9%8a%d9%84%d8%b3%d9%88%d9%81-%d8%a7%d9%84%d8%a5%d8%a8%d8%a7%d8%af%d8%a9-%d8%a7%d9%84%d8%b0%d9%8a-%d8%a8%d8%a7%d8%b9?traffic_source=rss,أليكس كارب.. فيلسوف الإبادة الذي باع روحه لترمب وإسرائيل,فيلسوف يهودي أمضى شبابه يدرس كيف يتحول المواطنون العاديون إلى مرتكبي إبادة، ثم أمضى كهولته يبني الأدوات التي تُستخدم فيها. هذه سيرة أليكس كارب، الرئيس التنفيذي لشركة بالانتير، وثمن صعوده.,2026-08-30T13:53:51+00:00,0,ar
ajar,https://www.aljazeera.net/news/2026/8/30/%d8%a3%d9%85%d9%8a%d8%b1-%d9%82%d8%b7%d8%b1-%d9%8a%d8%aa%d9%84%d9%82%d9%89-%d8%a7%d8%aa%d8%b5%d8%a7%d9%84%d8%a7-%d9%85%d9%86-%d8%b1%d8%a6%d9%8a%d8%b3-%d9%84%d8%a8%d9%86%d8%a7%d9%86?traffic_source=rss,أمير قطر يتلقى اتصالا من رئيس لبنان,تلقى أمير قطر الشيخ تميم بن حمد آل ثاني اتصالا هاتفيا، اليوم الأحد، من الرئيس اللبناني جوزيف عون، استعرضا فيه العلاقات الثنائية بين البلدين.,2026-08-30T13:50:52+00:00,0,ar
ajar,https://www.aljazeera.net/climate/2026/8/30/%d8%a8%d9%84%d8%a7-%d8%b9%d8%a7%d8%b5%d9%81%d8%a9-%d9%88%d9%84%d8%a7-%d8%a5%d9%86%d8%b0%d8%a7%d8%b1-%d9%84%d9%85%d8%a7%d8%b0%d8%a7-%d9%84%d9%85-%d8%aa%d8%aa%d9%86%d8%a8%d8%a3?traffic_source=rss,بلا عاصفة ولا إنذار.. لماذا لم تتنبأ نيبال بالفيضان القاتل؟,بدأت فيضانات نيبال الأخيرة دون أمطار أو عواصف، بل بانهيار جليدي في أعالي جبال الهيمالايا، وهو ما كشف قصور أنظمة الإنذار التقليدية والحاجة إلى مراقبة الجبال إلى جانب الأنهار والطقس.,2026-08-30T13:42:44+00:00,0,ar
tg_militarywave,https://t.me/militarywave/24907,,"Russian athletes are once again taking gold on the international stage! Canoeists Zakhar Petrov and Ivan Shtyl became world champions, winning the C2 500m event. It is Petrov’s sixth world title and Shtyl’s 19th. Pyotr Zemlyakov became European champion in speed climbing. On his way to gold, he set a Russian record, finishing in 4.86 seconds. The canoeists and climbers competed under neutral statu...",2026-08-30T17:01:35+00:00,0,en
tg_fighter_radar,https://t.me/fighter_radar/134954,,🔝 🔴 در حال حاضر، 8 فروند هواپیمای آمریکایی تانکربالنده (تامین‌کننده سوخت در هوا)، به همراه هواپیماهای جنگنده و هواپیماهای شناسایی، در نزدیکی تنگه هرمز مستقر هستند. 📝 Fenrir 👑 @Fighter_Radar,2026-08-30T17:00:55+00:00,0,fa
tg_geopolitics_prime,https://t.me/geopolitics_prime/73918,,"🇮🇷 📌 Gibraltar: Iran may have hidden leverage over another key strait to choke NATO economies Iran has demonstrated its powerful leverage over the Strait of Hormuz and the Bab el-Mandeb Strait. But could it reach more strategic waterways? Perhaps many have forgotten, but in December 2023, Brigadier General Mohammad Reza Naqdi, a senior Islamic Revolutionary Guard Corps (IRGC) commander, warned tha...",2026-08-30T17:14:02+00:00,0,en
tg_geopolitics_prime,https://t.me/geopolitics_prime/73917,,❗️ For our French-speaking audience ❗️ 🆘 STAY INFORMED LIVE ABOUT WORLD EVENTS 🆘 Join this channel quickly to be the first to be informed about international news ➡️ https://t.me/ActuInternationale ✈️ 1 subscription = 1 support for the dissemination of the truth ✅,2026-08-30T17:12:01+00:00,0,en
tg_geopwatch,https://t.me/GeoPWatch/39129,,"⚡️ 🇮🇸 🗳 🇪🇺 – Iceland is set to reject the continuation of accession negotiations with the European Union by an extremely tight margin, although the result cannot be called yet. So far, ""No"" is in the lead by 0.2% of the vote. @GeoPWatch",2026-08-30T17:13:43+00:00,0,en
