cluster_key,fate,reason,n_members,sources,provider,best_tier,category,significance,claim_status,independent_count,score,prellm_score,on_mission,headline,summary
681e4379932ddd45,sent_followup,band=mid sim=0.66 score=19.99 kept=above_floor prior=e98196ac,11,ajar|bbc_persian|osint613_a|sky_news_arabia|tg_esellco|tg_fighter_radar|tg_irane_azad_news|tg_padeshah_fxn|tg_tsepress,groq,2,politics,balance,likely,3,19.987,0.7497,1,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,وال استریت ژورنال گزارش داد که قطر و عمان در حال هماهنگی برای برگزاری دور تازه‌ای از مذاکرات میان ایران و آمریکا در مسقط هستند. مقام کاخ سفید تأیید کرد که گفتگوهای مثبت از طریق میانجی‌ها در جریان است، اما اختلاف‌نظر میان کشورهای خلیج فارس بر سر شدت فشار اقتصادی بر تهران همچنان پابرجاست.
813ccdc36f389edc,sent_followup,band=mid sim=0.71 score=22.97 kept=above_floor prior=05078ade,11,al_jazeera|al_monitor|france24|maariv|mee|osint613_a|tg_fighter_radar|tg_padeshah_fxn|tg_rnintel|tg_tabzlive,groq,2,military,balance,likely,5,22.970,0.5626,1,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,فرماندهان ارشد نظامی عربستان، ترکیه و پاکستان بر اساس پیمان دفاعی مکه برای حمایت از ریاض در برابر حملات موشکی حوثی‌ها گرد هم می‌آیند. این نشست پس از اعتراض موشک‌های بالستیک به سمت یانبو و طائف و اعلام آمادگی فرانسه برای محافظت از پایانه نفتی یانبو صورت می‌گیرد.
bb7df82af4719721,repeat_dropped,band=high sim=0.89 score=22.95 blocked=no_development prior=f4a1d50f,12,ajar|al_jazeera|bbc_persian|dw|irna|mee|mehr|tg_behold_israel|tg_geopolitics_prime|tg_tabzlive|tg_tweet_mardomi,groq,2,politics,escalation,likely,5,22.946,0.6522,1,نتانیاهو در مجمع عمومی سازمان ملل از عملیات نظامی در ایران دفاع کرد,نتانیاهو در سخنرانی خود در سازمان ملل متحد، اتهامات نسل‌کشی را رد و از حملات نظامی اسرائیل در ایران و غزه دفاع کرد. ده‌ها نماینده در اعتراض به حضور او سالن را ترک کردند و مقامات ایرانی این اقدام را رد جنگ اسرائیل خواندند.
f9d1ae25a5088f5a,sent_followup,band=mid sim=0.68 score=18.88 kept=above_floor prior=e5087cb4,3,ajar|mee|mehr,groq,2,economy,economy,likely,3,18.878,0.6067,1,سازمان ملل: غزه با شدیدترین بحران اقتصادی تاریخ مواجه است,گزارش جدید سازمان ملل متحد نشان می‌دهد اقتصاد غزه به دلیل حملات اسرائیل ویران شده و برای بازسازی به ۷۱.۵ میلیارد دلار نیاز دارد. پاسخ‌های امدادی فعلی تنها ۲۵ درصد از نیازهای انسانی را پوشش می‌دهند. وزیر خارجه ایران نیز مسئله فلسطین را بزرگ‌ترین بحران اخلاقی و انسانی جهان خواند.
ec468f4a4f5b4192,repeat_dropped,band=high sim=0.83 score=19.46 blocked=no_development prior=ca5321e6,19,al_monitor|maariv|mee|mehr|reuters_gnews|tg_esellco|tg_fighter_radar|tg_geopolitics_prime|tg_irane_azad_news|tg_padeshah_fxn|tg_tsepress|tg_tweet_mardomi|tg_vahid_online|tg_wfwitness,mistral,2,politics,balance,likely,5,19.461,0.7724,1,پزشکیان در مصاحبه با فاکس‌نیوز گفت آمریکا باید پایان جنگ با ایران را انتخاب کند,رئیس‌جمهور ایران در گفت‌وگو با شبکه فاکس‌نیوز تأکید کرد که تهران خواهان جنگ نیست و تصمیم‌گیری برای پایان درگیری بر عهده واشنگتن است. او همچنین اعلام کرد ایران در صورت ادامه حملات، قاطعانه از خود دفاع خواهد کرد.
03d4eecd1e3f2d2e,repeat_dropped,band=mid sim=0.74 score=12.59 blocked=below_floor prior=9518900b,7,al_manar|mee|sky_news_arabia|tg_irane_azad_news|tg_kianmeli|tg_padeshah_fxn,mistral,2,politics,none,likely,2,12.586,0.6919,1,سفير اسرائیل در سازمان ملل دستگاه استارلینک را به نماینده ایران پیشنهاد داد,دانی دانون، سفیر اسرائیل، در حاشیه مجمع عمومی سازمان ملل به نماینده ایران نزدیک شد و دستگاه استارلینک را به او پیشنهاد داد. نماینده ایران این پیشنهاد را نادیده گرفت و از تعامل خودداری کرد. این اقدام واکنش‌های گسترده‌ای در فضای مجازی برانگیخت.
28cc02ef15099364,sent_followup,band=mid sim=0.71 score=20.03 kept=above_floor prior=60c783a4,2,al_jazeera|sky_news_arabia,gemini,2,politics,escalation,likely,2,20.032,0.5771,1,ایران نقشه راهی هفت‌روزه برای بازگشایی تنگه هرمز به ایالات متحده پیشنهاد کرد.,ایران طرحی هفت‌روزه را برای پایان دادن به درگیری‌ها به ایالات متحده پیشنهاد کرده است. بر اساس این طرح، در صورت توقف مناقشات منطقه‌ای، تنگه هرمز بازگشایی شده و گفتگوهای دو کشور از سر گرفته می‌شود.
591aa400d5f78136,relevance_dropped,band=mid sim=0.69 score=15.42 kept=above_floor prior=b80e901d,6,aawsat|al_manar|haaretz|osint613_a|tg_minas_tirith,gemini,2,military,none,likely,2,15.419,0.6150,1,دو سرباز اسرائیلی بر اثر انفجار پهپاد خودی در شمال غزه کشته شدند.,دو نیروی ذخیره ارتش اسرائیل در شمال غزه بر اثر سقوط و انفجار یک پهپاد ارتش کشته شدند. ارتش اسرائیل همچنین از کشته شدن دو عضو حماس در جریان عملیات‌های جداگانه خبر داد.
500e527e68ae636e,sent_followup,band=mid sim=0.68 score=20.41 kept=above_floor prior=8030d2bf,6,al_monitor|reuters_gnews|tg_entekhab|tg_fighter_radar|tg_tabzlive|tg_wfwitness,groq,2,politics,escalation,likely,2,20.413,0.5827,1,مفتی اعظم عربستان از سربازان خواست برای جنگ با حوثی‌ها جان خود را فدا کنند,شیخ صالح بن فوزان، مفتی اعظم عربستان، در پیامی نادر از سربازان مرزی خواست برای مبارزه با حوثی‌ها تا برکناری این گروه آماده باشند. این بیانیه پس از هفته‌ها حملات موشکی و پهپادی حوثی‌ها و حملات هوایی عربستان به یمن صادر شد.
33a3e4fd175ae55f,repeat_dropped,band=high sim=0.81 score=17.21 blocked=no_development prior=dbbbb961,4,al_jazeera|bbc_en|tg_fighter_radar,groq,2,politics,balance,likely,2,17.210,0.2967,1,دیدار ترامپ و شی جین‌پینگ در واشنگتن بدون پیشرفت در مسائل کلیدی,دونالد ترامپ و شی جین‌پینگ در دومین روز از سفر رئیس‌جمهور چین به واشنگتن در شام رسمی دیدار کردند. با وجود لحن دوستانه، منابع گزارش می‌دهند که پیشرفت ملموسی در مسائل حساسی مانند تجارت، تایوان و جنگ ایران حاصل نشده است.
