rank,event_key,score,category,significance,claim_status,independent_count,best_tier,n_members,sources,provider,latest_utc,headline,summary
0,813ccdc36f389edc,22.970,military,balance,likely,5,2,11,al_jazeera|al_monitor|france24|maariv|mee|osint613_a|tg_fighter_radar|tg_padeshah_fxn|tg_rnintel|tg_tabzlive,groq,2026-09-25T10:19:30+00:00,عربستان، ترکیه و پاکستان نشست اضطراری نظامی برای مقابله با حمله حوثی‌ها برگزار می‌کنند,فرماندهان ارشد نظامی عربستان، ترکیه و پاکستان بر اساس پیمان دفاعی مکه برای حمایت از ریاض در برابر حملات موشکی حوثی‌ها گرد هم می‌آیند. این نشست پس از اعتراض موشک‌های بالستیک به سمت یانبو و طائف و اعلام آمادگی فرانسه برای محافظت از پایانه نفتی یانبو صورت می‌گیرد.
1,500e527e68ae636e,20.413,politics,escalation,likely,2,2,6,al_monitor|reuters_gnews|tg_entekhab|tg_fighter_radar|tg_tabzlive|tg_wfwitness,groq,2026-09-25T10:05:58+00:00,مفتی اعظم عربستان از سربازان خواست برای جنگ با حوثی‌ها جان خود را فدا کنند,شیخ صالح بن فوزان، مفتی اعظم عربستان، در پیامی نادر از سربازان مرزی خواست برای مبارزه با حوثی‌ها تا برکناری این گروه آماده باشند. این بیانیه پس از هفته‌ها حملات موشکی و پهپادی حوثی‌ها و حملات هوایی عربستان به یمن صادر شد.
2,28cc02ef15099364,20.032,politics,escalation,likely,2,2,2,al_jazeera|sky_news_arabia,gemini,2026-09-25T10:10:27+00:00,ایران نقشه راهی هفت‌روزه برای بازگشایی تنگه هرمز به ایالات متحده پیشنهاد کرد.,ایران طرحی هفت‌روزه را برای پایان دادن به درگیری‌ها به ایالات متحده پیشنهاد کرده است. بر اساس این طرح، در صورت توقف مناقشات منطقه‌ای، تنگه هرمز بازگشایی شده و گفتگوهای دو کشور از سر گرفته می‌شود.
3,681e4379932ddd45,19.987,politics,balance,likely,3,2,11,ajar|bbc_persian|osint613_a|sky_news_arabia|tg_esellco|tg_fighter_radar|tg_irane_azad_news|tg_padeshah_fxn|tg_tsepress,groq,2026-09-25T10:23:32+00:00,برگزاری دور جدید مذاکرات ایران و آمریکا در مسقط عمان,وال استریت ژورنال گزارش داد که قطر و عمان در حال هماهنگی برای برگزاری دور تازه‌ای از مذاکرات میان ایران و آمریکا در مسقط هستند. مقام کاخ سفید تأیید کرد که گفتگوهای مثبت از طریق میانجی‌ها در جریان است، اما اختلاف‌نظر میان کشورهای خلیج فارس بر سر شدت فشار اقتصادی بر تهران همچنان پابرجاست.
4,f9d1ae25a5088f5a,18.878,economy,economy,likely,3,2,3,ajar|mee|mehr,groq,2026-09-25T09:09:34+00:00,سازمان ملل: غزه با شدیدترین بحران اقتصادی تاریخ مواجه است,گزارش جدید سازمان ملل متحد نشان می‌دهد اقتصاد غزه به دلیل حملات اسرائیل ویران شده و برای بازسازی به ۷۱.۵ میلیارد دلار نیاز دارد. پاسخ‌های امدادی فعلی تنها ۲۵ درصد از نیازهای انسانی را پوشش می‌دهند. وزیر خارجه ایران نیز مسئله فلسطین را بزرگ‌ترین بحران اخلاقی و انسانی جهان خواند.
5,3a64b2106e538615,18.432,security,escalation,likely,2,2,2,al_monitor|reuters_gnews,groq,2026-09-24T23:46:32+00:00,بریتانیا به ایران هشدار داد فعالیت‌های خصمانه در خاکش را تحمل نخواهد کرد,اد میلیبند، وزیر خارجه بریتانیا، در دیدار با عباس عراقچی در نیویورک اعلام کرد که لندن تهدیدها و فعالیت‌های خصمانه گروه‌های وابسته به ایران در خاک بریتانیا را تحمل نخواهد کرد. طرفین همچنین درباره جنگ در خاورمیانه و اهمیت بازگشایی تنگه هرمز گفتگو کردند.
6,5af50ea87ca14071,17.908,military,balance,unconfirmed,1,2,1,mee,groq,2026-09-25T10:04:40+00:00,تسریع ساخت پهپادهای اسرائیلی در کارخانه‌ای در صربستان,رئیس‌جمهور صربستان کارخانه‌ای برای تولید پهپادهای اسرائیلی را افتتاح کرد. گزارش‌ها از پیچیدگی‌های مالکیت این پروژه و درگیری‌های سیاسی پیرامون آن خبر می‌دهند.
7,56bc7c4f59a92136,17.139,military,balance,unconfirmed,1,2,1,ajar,groq,2026-09-25T07:00:02+00:00,مقاطعه اروپایی و کمبود قطعات، تأخیر در عملیات غواصه اسرائیلی را موجب شد,مقاطعه اروپایی، کمبود قطعات یدکی و عدم اجازه پهلوگیری منجر به تأخیر در عملیات غواصه اسرائیلی «دراگون» شد. این رویداد آسیب‌پذیری زنجیره‌های تأمین و محدودیت‌های استقلال نظامی دریایی اسرائیل را آشکار کرد.
8,39d39c61e73d3517,17.040,politics,escalation,unconfirmed,1,2,2,irna|mehr,groq,2026-09-25T06:12:22+00:00,نایب‌وزیر خارجه ایران: مشارکت اروپا در تهاجم آمریکا پاسخ داده خواهد شد,قاسم غریب‌آبادی با استناد به اعتراف مارک روته درباره پرواز ۵۰۰۰ مأموریت از پایگاه‌های اروپایی، اعلام کرد اروپا بخشی از زیرساخت تهاجم آمریکا علیه ایران بوده است. وی تأکید کرد که این مشارکت اروپا بی‌پاسخ نخواهد ماند.
9,98fb501a969071e1,16.926,military,escalation,rumour,0,3,2,tg_geopolitics_prime|tg_kianmeli,groq,2026-09-25T09:45:06+00:00,پروازهای شناسایی آمریکا در تنگه هرمز و اعلام آمادگی سپاه برای پاسخ متفاوت,منابع از پروازهای شناسایی هواپیماهای آمریکایی بر فراز جزایر قشم و هنگام و استقرار ۱۶ فروند جت F-16 در منطقه خبر داده‌اند. سخنگوی سپاه پاسداران اعلام کرد در صورت حمله جدید، از تسلیحات متفاوتی استفاده خواهد شد.
10,9255ae23eaff1ec5,16.472,politics,balance,likely,2,2,4,al_monitor|reuters_gnews|tg_kianmeli|tg_tweet_mardomi,groq,2026-09-25T07:08:01+00:00,وزیران خارجه روسیه و ایران بر راهکار دیپلماتیک برای حل تنش‌ها توافق کردند,سرگئی لاوروف و عباس عراقچی در حاشیه مجمع عمومی سازمان ملل در نیویورک دیدار کردند. وزارت خارجه روسیه اعلام کرد هر دو طرف بر این باورند که تنها راه پایان تنش‌های منطقه‌ای ناشی از جنگ آمریکا و اسرائیل علیه ایران، حل دیپلماتیک است.
