decision,id,name,http,verdict,items,newest,why,url
CUT_STALE,iranwire,IranWire,200,OK,493,"Mon, 13 Jul 2026 15:29:07 +0000","newest 2026-07-13, 31d old",https://iranwire.com/en/feed/
CUT_UNREACHABLE_CI,press_tv,Press TV,,TLS,0,,unreachable from runner in BOTH rounds,https://www.presstv.ir/rss.xml
CUT_UNREACHABLE_CI,tasnim,Tasnim News,,DNS,0,,unreachable from runner in BOTH rounds,https://www.tasnimnews.com/en/rss/feed/0/8/0/
INSPECT_BODY,radio_farda,Radio Farda English,200,EMPTY,0,,200 + feed content-type but 0 items; gzip or genuinely empty,https://en.radiofarda.com/api/zrqiteuuir
INSPECT_BODY,rferl_iran,RFE/RL main,200,EMPTY,0,,200 + feed content-type but 0 items; gzip or genuinely empty,https://www.rferl.org/api/zkvypeuiiq
INSPECT_BODY,safeairspace,SafeAirspace Conflict Zones,200,EMPTY,0,,200 + feed content-type but 0 items; gzip or genuinely empty,https://safeairspace.net/feed/
RETEST_SERIAL,amwaj,Amwaj Media,500,HTTP_ERROR,0,,self-inflicted by parallel a/b probe of same host,https://amwaj.media/feed
RETEST_SERIAL,amwaj_alt,Amwaj Media alt,429,HTTP_ERROR,0,,self-inflicted by parallel a/b probe of same host,https://amwaj.media/rss
RETEST_UA,centcom_alt,US CENTCOM alt,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://www.centcom.mil/NEWS/rss.xml
RETEST_UA,isw,ISW Publications,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://www.understandingwar.org/feeds/publications.xml
RETEST_UA,isw_alt,ISW alt,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://www.understandingwar.org/rss.xml
RETEST_UA,times_of_israel,Times of Israel,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://www.timesofisrael.com/feed/
RETEST_UA,trading_economics,Trading Economics,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://tradingeconomics.com/rss/news.aspx
RETEST_UA,ukmto,UKMTO Advisories,403,HTTP_ERROR,0,,"403 = bot filter, URL likely correct",https://www.ukmto.org/feed
