cluster_key,fate,reason,n_members,sources,best_tier,category,claim_status,independent_count,score
8201fbf3e8f997f3,relevance_dropped,,1,mee,2,security,unconfirmed,1,10.993
a99865aa957a5b04,clickbait,,1,tehran_times,2,,,,
0fee34ac3b02b668,sent,,1,irna,2,politics,unconfirmed,1,9.984
86d78f269f1c0c13,irrelevant,,1,bbc_en,2,,,,
bd65e6d5dc2ff036,irrelevant,,2,aviationist|tg_tabzlive,2,,,,
c15736ffd7e28bea,irrelevant,,1,sky_news_arabia,2,,,,
47ec89140be6c91d,repeat_dropped,,2,aawsat|osint613_a,2,,,,
f0293f5e34b60653,repeat_dropped,,3,al_jazeera|tg_fighter_radar,2,,,,
9c2a4dd9b928eefc,relevance_dropped,,1,haaretz,2,other,unconfirmed,1,6.925
307f85efbce1bf31,irrelevant,,1,maariv,2,,,,
53b394306220d3e3,irrelevant,,1,walla,2,,,,
6587c8d8a5c79a33,relevance_dropped,,1,al_jazeera,2,politics,unconfirmed,1,9.804
6c65eaa5292ac1f0,relevance_dropped,,1,walla,2,politics,unconfirmed,1,9.749
ca420ff48c6263f8,irrelevant,,1,ajar,2,,,,
bc5467a4a752d255,unavailable,,1,ajar,2,,,,
fa22dcb0db738c68,unavailable,,1,ajar,2,,,,
304e737d9ecb27fc,unavailable,,4,tg_fighter_radar|tg_iranian_militarism|tg_tabzlive,3,,,,
07b23406266d8154,unavailable,,2,tg_fighter_radar|tg_tweet_mardomi,3,,,,
def95594f803986d,unavailable,,1,tg_fighter_radar,3,,,,
8174febe17b16ea3,unavailable,,1,tg_tabzlive,3,,,,
c7576b20a7d8e153,unavailable,,3,al_manar|osint613_a|tg_defenderdome,3,,,,
